ANO,MÊS,DIA,SEMANA,DATA,VALOR
2025,5,1,Quinta-feira,01/05/2025,FERIADO
2025,5,2,Sexta-feira,02/05/2025,UTIL
2025,5,3,Sábado,03/05/2025,FINAL_DE_SEMANA
2025,5,4,Domingo,04/05/2025,FINAL_DE_SEMANA
2025,5,5,Segunda-feira,05/05/2025,UTIL
2025,5,6,Terça-feira,06/05/2025,UTIL
2025,5,7,Quarta-feira,07/05/2025,UTIL
2025,5,8,Quinta-feira,08/05/2025,UTIL
2025,5,9,Sexta-feira,09/05/2025,UTIL
2025,5,10,Sábado,10/05/2025,FINAL_DE_SEMANA
2025,5,11,Domingo,11/05/2025,FINAL_DE_SEMANA
2025,5,12,Segunda-feira,12/05/2025,UTIL
2025,5,13,Terça-feira,13/05/2025,UTIL
2025,5,14,Quarta-feira,14/05/2025,UTIL
2025,5,15,Quinta-feira,15/05/2025,UTIL
2025,5,16,Sexta-feira,16/05/2025,UTIL
2025,5,17,Sábado,17/05/2025,FINAL_DE_SEMANA
2025,5,18,Domingo,18/05/2025,FINAL_DE_SEMANA
2025,5,19,Segunda-feira,19/05/2025,UTIL
2025,5,20,Terça-feira,20/05/2025,UTIL
2025,5,21,Quarta-feira,21/05/2025,UTIL
2025,5,22,Quinta-feira,22/05/2025,UTIL
2025,5,23,Sexta-feira,23/05/2025,UTIL
2025,5,24,Sábado,24/05/2025,FINAL_DE_SEMANA
2025,5,25,Domingo,25/05/2025,FINAL_DE_SEMANA
2025,5,26,Segunda-feira,26/05/2025,UTIL
2025,5,27,Terça-feira,27/05/2025,UTIL
2025,5,28,Quarta-feira,28/05/2025,UTIL
2025,5,29,Quinta-feira,29/05/2025,UTIL
2025,5,30,Sexta-feira,30/05/2025,UTIL
2025,5,31,Sábado,31/05/2025,FINAL_DE_SEMANA
2025,6,1,Domingo,01/06/2025,FINAL_DE_SEMANA
2025,6,2,Segunda-feira,02/06/2025,UTIL
2025,6,3,Terça-feira,03/06/2025,UTIL
2025,6,4,Quarta-feira,04/06/2025,UTIL
2025,6,5,Quinta-feira,05/06/2025,UTIL
2025,6,6,Sexta-feira,06/06/2025,UTIL
2025,6,7,Sábado,07/06/2025,FINAL_DE_SEMANA
2025,6,8,Domingo,08/06/2025,FINAL_DE_SEMANA
2025,6,9,Segunda-feira,09/06/2025,UTIL
2025,6,10,Terça-feira,10/06/2025,UTIL
2025,6,11,Quarta-feira,11/06/2025,UTIL
2025,6,12,Quinta-feira,12/06/2025,UTIL
2025,6,13,Sexta-feira,13/06/2025,UTIL
2025,6,14,Sábado,14/06/2025,FINAL_DE_SEMANA
2025,6,15,Domingo,15/06/2025,FINAL_DE_SEMANA
2025,6,16,Segunda-feira,16/06/2025,UTIL
2025,6,17,Terça-feira,17/06/2025,UTIL
2025,6,18,Quarta-feira,18/06/2025,UTIL
2025,6,19,Quinta-feira,19/06/2025,FERIADO
2025,6,20,Sexta-feira,20/06/2025,UTIL
2025,6,21,Sábado,21/06/2025,FINAL_DE_SEMANA
2025,6,22,Domingo,22/06/2025,FINAL_DE_SEMANA
2025,6,23,Segunda-feira,23/06/2025,UTIL
2025,6,24,Terça-feira,24/06/2025,UTIL
2025,6,25,Quarta-feira,25/06/2025,UTIL
2025,6,26,Quinta-feira,26/06/2025,UTIL
2025,6,27,Sexta-feira,27/06/2025,UTIL
2025,6,28,Sábado,28/06/2025,FINAL_DE_SEMANA
2025,6,29,Domingo,29/06/2025,FINAL_DE_SEMANA
2025,6,30,Segunda-feira,30/06/2025,UTIL
2025,7,1,Terça-feira,01/07/2025,UTIL
2025,7,2,Quarta-feira,02/07/2025,UTIL
2025,7,3,Quinta-feira,03/07/2025,UTIL
2025,7,4,Sexta-feira,04/07/2025,UTIL
2025,7,5,Sábado,05/07/2025,FINAL_DE_SEMANA
2025,7,6,Domingo,06/07/2025,FINAL_DE_SEMANA
2025,7,7,Segunda-feira,07/07/2025,UTIL
2025,7,8,Terça-feira,08/07/2025,UTIL
2025,7,9,Quarta-feira,09/07/2025,UTIL
2025,7,10,Quinta-feira,10/07/2025,UTIL
2025,7,11,Sexta-feira,11/07/2025,UTIL
2025,7,12,Sábado,12/07/2025,FINAL_DE_SEMANA
2025,7,13,Domingo,13/07/2025,FINAL_DE_SEMANA
2025,7,14,Segunda-feira,14/07/2025,UTIL
2025,7,15,Terça-feira,15/07/2025,UTIL
2025,7,16,Quarta-feira,16/07/2025,UTIL
2025,7,17,Quinta-feira,17/07/2025,UTIL
2025,7,18,Sexta-feira,18/07/2025,UTIL
2025,7,19,Sábado,19/07/2025,FINAL_DE_SEMANA
2025,7,20,Domingo,20/07/2025,FINAL_DE_SEMANA
2025,7,21,Segunda-feira,21/07/2025,UTIL
2025,7,22,Terça-feira,22/07/2025,UTIL
2025,7,23,Quarta-feira,23/07/2025,UTIL
2025,7,24,Quinta-feira,24/07/2025,UTIL
2025,7,25,Sexta-feira,25/07/2025,UTIL
2025,7,26,Sábado,26/07/2025,FINAL_DE_SEMANA
2025,7,27,Domingo,27/07/2025,FINAL_DE_SEMANA
2025,7,28,Segunda-feira,28/07/2025,UTIL
2025,7,29,Terça-feira,29/07/2025,UTIL
2025,7,30,Quarta-feira,30/07/2025,UTIL
2025,7,31,Quinta-feira,31/07/2025,UTIL
